datetime,symbol,open,high,low,close,volume
2010-06-29 16:30:00,NASDAQ:TSLA,3.8,5.0,3.507998,4.778,93916400.0
2010-06-30 16:30:00,NASDAQ:TSLA,5.157998,6.08384,4.66,4.766,85972000.0
2010-07-01 16:30:00,NASDAQ:TSLA,5.0,5.184,4.054,4.392002,41149315.0
2010-07-02 16:30:00,NASDAQ:TSLA,4.6,4.620002,3.742002,3.84,25709045.0
2010-07-06 16:30:00,NASDAQ:TSLA,4.0,4.0,3.166,3.222,34396485.0
2010-07-07 16:30:00,NASDAQ:TSLA,3.279998,3.326,2.996,3.16,34624570.0
2010-07-08 16:30:00,NASDAQ:TSLA,3.228,3.504,3.114,3.492002,38597695.0
2010-07-09 16:30:00,NASDAQ:TSLA,3.516,3.579998,3.31,3.479998,20293030.0
2010-07-12 16:30:00,NASDAQ:TSLA,3.59,3.614002,3.4,3.41,11017850.0
2010-07-13 16:30:00,NASDAQ:TSLA,3.47876,3.728,3.379998,3.628,13400300.0
2010-07-14 16:30:00,NASDAQ:TSLA,3.588,4.029998,3.55202,3.968,20980545.0
2010-07-15 16:30:00,NASDAQ:TSLA,3.988,4.3,3.8,3.978,18726485.0
2010-07-16 16:30:00,NASDAQ:TSLA,4.14,4.26,4.01,4.128,13106050.0
2010-07-19 16:30:00,NASDAQ:TSLA,4.274,4.45,4.184,4.382,12432445.0
2010-07-20 16:30:00,NASDAQ:TSLA,4.370002,4.370002,4.01,4.06,9126155.0
2010-07-21 16:30:00,NASDAQ:TSLA,4.132,4.179998,3.9,4.044,6267210.0
2010-07-22 16:30:00,NASDAQ:TSLA,4.1,4.25,4.074,4.2,4811725.0
2010-07-23 16:30:00,NASDAQ:TSLA,4.238,4.312,4.212,4.257998,3270245.0
2010-07-26 16:30:00,NASDAQ:TSLA,4.3,4.3,4.06,4.19,4612265.0
2010-07-27 16:30:00,NASDAQ:TSLA,4.182,4.235998,4.051998,4.11,3098375.0
2010-07-28 16:30:00,NASDAQ:TSLA,4.11,4.179998,4.101998,4.144,2335915.0
2010-07-29 16:30:00,NASDAQ:TSLA,4.154,4.176,4.0,4.070002,3079550.0
2010-07-30 16:30:00,NASDAQ:TSLA,4.04,4.088,3.91,3.988,2134150.0
2010-08-02 16:30:00,NASDAQ:TSLA,4.1,4.194,4.066598,4.184,3595725.0
2010-08-03 16:30:00,NASDAQ:TSLA,4.2,4.39,4.164002,4.39,6155115.0
2010-08-04 16:30:00,NASDAQ:TSLA,4.39,4.435998,4.170002,4.251998,4603780.0
2010-08-05 16:30:00,NASDAQ:TSLA,4.307998,4.31,4.01,4.09,3981900.0
2010-08-06 16:30:00,NASDAQ:TSLA,4.020002,4.03202,3.904,3.918,3710690.0
2010-08-09 16:30:00,NASDAQ:TSLA,3.979998,3.996,3.89,3.920002,4063280.0
2010-08-10 16:30:00,NASDAQ:TSLA,3.929998,3.929998,3.764002,3.806,6406430.0
2010-08-11 16:30:00,NASDAQ:TSLA,3.738,3.776,3.570002,3.579998,3988250.0
2010-08-12 16:30:00,NASDAQ:TSLA,3.56,3.579998,3.478,3.520002,3456405.0
2010-08-13 16:30:00,NASDAQ:TSLA,3.635998,3.69,3.53208,3.664002,3172565.0
2010-08-16 16:30:00,NASDAQ:TSLA,3.69,3.76,3.65232,3.756,2431055.0
2010-08-17 16:30:00,NASDAQ:TSLA,3.792002,3.879998,3.756,3.829998,2239405.0
2010-08-18 16:30:00,NASDAQ:TSLA,3.918,3.918,3.720002,3.754,3006660.0
2010-08-19 16:30:00,NASDAQ:TSLA,3.707998,3.85,3.666,3.757998,2895410.0
2010-08-20 16:30:00,NASDAQ:TSLA,3.729998,3.822,3.70202,3.820002,1487495.0
2010-08-23 16:30:00,NASDAQ:TSLA,3.818,4.07782,3.8,4.026,5440145.0
2010-08-24 16:30:00,NASDAQ:TSLA,3.85,3.942002,3.79,3.84,3365370.0
2010-08-25 16:30:00,NASDAQ:TSLA,3.832,3.996,3.712,3.979998,2516445.0
2010-08-26 16:30:00,NASDAQ:TSLA,3.978,4.054,3.920002,3.95,2168680.0
2010-08-27 16:30:00,NASDAQ:TSLA,3.95,3.973002,3.9,3.94,1898210.0
